dataset id,dataset name,total views,recent views (last 2 weeks)
07e083c2-ab5a-473e-80e8-2a7131bf24de,64927856-8o0t-5u1o-987izna480aa45,137,19
d08198af-1176-44ff-bf27-25cae3a48234,02969436-8c0b-4e6e-ad40-781cdb43cf24,113,7
62d8033b-87b6-4322-8d5f-e26bebf934c1,9ae3e718-8b6d-40b7-8aa4-858f00e84b30,109,16
d5b8859c-7b0e-442b-a475-c37e5372c89e,6c3f7e9c-7b43-4a6b-a924-a1bef1a9cf74,104,4
57e019ae-4fa7-468e-b441-81ae0ee3c5b2,221c1c75-4c42-4286-a4ce-ca6c3027b7fe,97,7
555df056-98f4-4b00-8da5-84eb6be136b9,ef42819f-35bb-49c0-a368-1e61fa876ee6,61,14
c15668d5-7b6b-4dbc-b428-a9eb65b52f5b,06f5e364-6e2c-4d1c-95c2-9fb7d871ca20,57,5
57d88703-2335-4256-8084-33c25005bca3,9151430-4v0p-4t5c-468vnhj714ao64,52,4
db0c7b3d-08fd-4b09-87d3-b3feafa334d8,98466021-2q1w-5g2d-677zwru214wx68,41,2
4fb5ce48-e592-4068-b2a1-7a6d4feef85a,63000552-0f3g-2j4x-885zfri593np79,36,4
f62b7383-952c-456b-a123-44920f8bd825,d0a85c03-2840-41a6-898e-9ef17ae699e5,35,9
0a35279d-2a6d-4e08-aa80-dd784317891c,e56cecf8-7ced-4fca-b6db-c7730649f1f8,33,2
43fa603a-ab51-4cf5-aff3-bcb5ea7c8bdb,38ce99e4-8c60-45cc-ba88-7edc9822fd99,32,8
15e5b076-f8cd-4828-8a47-77ad28b7d83d,ac5a7484-15ce-47cf-99c0-df014ca516c7,30,1
a85001fc-6ccc-4ba3-8e5e-0b68c1ceef5c,bc83f18e-a1e5-4b21-a4bb-a870a1c2fc60,29,4
a01d9f69-6835-438c-83d9-c88760e94823,dd18f931-a23e-4126-874f-68e1bc73851b,29,4
75495b2d-26e5-4d28-80aa-31564a7aed04,d700c863-8622-4ec2-a4ee-a1c377880e2e,28,2
52c46c7a-12ba-4b9f-aa1c-ba23c16e455c,e0333ed6-a614-46b1-b595-1fac1ce9214a,24,0
916a819c-07d1-48a6-bf2e-5b1bcc5f4abd,137bdc17-2f46-4d70-98e7-acc46f602e9f,24,0
232d6e00-d3f2-4b60-9e4a-93bb63084bb9,c22fa749-b005-4956-bf68-2ac2b9e68d31,24,1
2fbb9e7f-3538-466f-9e1d-1fb683b315b5,0176458c-553b-48b4-a5e2-492022c81e85,22,4
abf26419-1095-43aa-805c-3487c63c7ef9,4596426-1c8f-3l9j-895mmct858mg42,22,0
f949f47d-2616-4916-9aa9-779acd9aed16,a50d5de5-b635-4143-99d2-03d2b7865f96,22,0
e80e4f51-d81d-4c9c-a702-473395fb559f,d7bf7d81-3b77-4b79-b3bc-b3d130020f2b,21,1
a9e18069-9061-457f-be70-fb9d9541133d,bfb2331e-6d68-41c0-8cf4-c2e9c4d68eb7,21,1
94697b56-a3b2-48d2-b38b-13ba0944db09,9c5d6819-ceb1-4828-ad1c-2c082f7c80ea,20,1
ccf09d03-bc74-4a4d-ad63-d1ff902118d1,b01f66c5-5090-488f-9bb6-b2f39a7bbc0b,19,0
4e86b201-29ee-434c-ab29-f2be5e073564,37c3bd96-cf33-4958-92fe-fee653c94b24,19,0
08e0918b-27fa-4920-b96e-257825cf52cb,32b06938-587b-47e8-8af0-0c4d5063a514,19,1
60529b5d-6806-4926-8b9d-df7987f93d5a,a27cfbe9-db7e-46f0-b5b8-63190cc91d55,19,2
d3115be6-2b5f-4570-8aa7-06123dee8536,a71e969b-4b9a-4ebf-85b3-f356d01fd553,19,1
14ad8e71-1e62-4ec4-a1b5-97811d6ccdeb,95bc6c29-6ec1-4945-9be4-0ecfb71c7008,18,2
992635e7-0d07-431f-8ea4-33175fc68864,0e338f52-25e4-465c-8104-bb9d7c8d3df3,18,0
002ba51f-9aa4-4765-ad2f-fddd44d00fbc,13c6bf41-b289-44da-a6ef-ba4f9478723d,18,0
1580e250-789a-4903-891a-a8af451f5b38,b8a4fc42-c3c6-449b-8b26-86130e32d790,17,0
26aa5c1f-93a6-453f-8b23-392ee034e4eb,65376529-3z6l-6u7e-732sbzy824wa25,17,2
c7cdedfc-8a69-4fa3-94ca-003ffbe2c897,35103995-4m2o-7a0i-964fusc106cj97,17,1
6df41c24-c0a5-493c-a9cd-32bbe49953dd,5d31f5b8-8bd6-48fc-aad8-f4f054f83a09,17,1
e0050ad2-e540-4e8e-8084-63773dd85aa0,e6d64f46-cc59-4540-9f14-60d43889c94e,17,1
3dd87f85-2702-4cda-b5f3-b7b70b3f5151,51021573-5l0d-7q4q-281wtks502zn57,16,0
8a5ec52d-2f44-41af-ae25-e430e7b48b17,c1c9e60a-782d-45b7-b376-f1771a4d5062,16,0
36743a48-042a-4fb3-bf7a-f8f3187d75fd,d5805390-ae07-4947-937b-be4767a4633c,16,4
aa1129c0-2bb9-4268-8ccb-f2dc9129ff99,6a854752-14bb-41bc-86c9-1d20b59b79e1,15,2
51c1acf9-412b-49fc-aa4e-40fa6c850bb0,1aa53c2b-62da-4982-9fa7-c198d27bb908,15,0
cde92cc9-3374-477a-85cb-48e2856e7e6e,00f94aa5-7f43-410f-a812-592cd839eb89,15,0
ccfb8fe6-2bda-4662-8844-988613f534ed,ce45a9db-e55d-4b23-92c9-d16833d24b5a,15,1
44a8c45e-8a72-432f-a3a7-cebc30bd70b1,dc050ac8-67e3-47c5-ba19-f39c3a67471d,15,2
